experiment,phase,model,attacker_share,confirmations,acceptance_policy,attack_start_policy,abandonment_policy,tie_policy,success_probability,code_version,target_interval_sec,expected_wait_sec,mean_wait_sec,median_wait_sec,expected_work,mean_realized_work,trials,successes,ci_lower,ci_upper,mean_attack_duration_sec,seed,p05_wait_sec,p95_wait_sec,mean_deficit_at_acceptance,mean_attacker_blocks_at_acceptance,analytical_reversal_probability,abs_error,finite_600s_success_probability,finite_3600s_success_probability,deficit,deficit_probability,catchup_probability,break_even_value_reward_multiple,confirmation_requirement_m_minus_1,n_behind,m_needed,equal_chainwork_pair,attack_deadline_sec,expected_blocks_in_horizon,mean_blocks_in_horizon,expected_work_in_horizon,family,eventual_reversal_probability,mean_steps_taken,start_delay_sec,premining_lead,scenario,abandonment_deficit,external_hash_share,external_hash_duration_sec,external_hash_delay_sec,required_total_share,required_external_share,required_external_hash_ratio,expected_attack_cost,expected_value,break_even_value,expected_normalized_work,majority_cost_per_unit_time,cost_to_reach_confirmations,cost_of_normalized_work
P0_analytical_baseline,I,analytical_exact,0.01,1,600s × 1,,,strict,0.0003010101010100901,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,1,600s × 1,,,strict,0.000252682928648551,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,1,600s × 1,,,tie_win,0.02000000000000001,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,1,600s × 1,,,tie_win,0.020049659504318806,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,2,600s × 2,,,strict,9.950101010176317e-06,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,2,600s × 2,,,strict,6.4034869833307084e-06,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,2,600s × 2,,,tie_win,0.0005960000000000207,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,2,600s × 2,,,tie_win,0.0005013028220883786,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,3,600s × 3,,,strict,3.4512100999084063e-07,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,3,600s × 3,,,strict,1.6558652515819006e-07,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,3,600s × 3,,,tie_win,1.9701199999916557e-05,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,3,600s × 3,,,tie_win,1.3032317209504818e-05,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,5,600s × 5,,,strict,4.4701366317646615e-10,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,5,600s × 5,,,strict,1.1439083014153084e-10,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,5,600s × 5,,,tie_win,2.4370737284057203e-08,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,5,600s × 5,,,tie_win,9.161424951997788e-09,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,10,600s × 10,,,strict,1.703394491456759e-17,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,10,600s × 10,,,strict,0.0,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.01,10,600s × 10,,,tie_win,1.6280665905281624e-15,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.01,10,600s × 10,,,tie_win,1.1102230246251565e-16,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.05,1,600s × 1,,,strict,0.007631578947368479,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.05,1,600s × 1,,,strict,0.006593508459243003,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.05,1,600s × 1,,,tie_win,0.10000000000000005,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_poisson,0.05,1,600s × 1,,,tie_win,0.10120365051074376,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P0_analytical_baseline,I,analytical_exact,0.05,2,600s × 2,,,strict,0.00121907894736841,a2e0821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
