experiment,phase,model,target_interval_sec,attacker_share,confirmations,acceptance_policy,success_probability,ci_lower,ci_upper,expected_wait_sec,median_wait_sec,expected_work
P0_analytical_baseline,I,analytical_exact,,0.01,1,600s × 1,0.0003010101010100901,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,1,600s × 1,0.000252682928648551,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,1,600s × 1,0.02000000000000001,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,1,600s × 1,0.020049659504318806,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,2,600s × 2,9.950101010176317e-06,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,2,600s × 2,6.4034869833307084e-06,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,2,600s × 2,0.0005960000000000207,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,2,600s × 2,0.0005013028220883786,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,3,600s × 3,3.4512100999084063e-07,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,3,600s × 3,1.6558652515819006e-07,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,3,600s × 3,1.9701199999916557e-05,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,3,600s × 3,1.3032317209504818e-05,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,5,600s × 5,4.4701366317646615e-10,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,5,600s × 5,1.1439083014153084e-10,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,5,600s × 5,2.4370737284057203e-08,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,5,600s × 5,9.161424951997788e-09,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,10,600s × 10,1.703394491456759e-17,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,10,600s × 10,0.0,,,,,
P0_analytical_baseline,I,analytical_exact,,0.01,10,600s × 10,1.6280665905281624e-15,,,,,
P0_analytical_baseline,I,analytical_poisson,,0.01,10,600s × 10,1.1102230246251565e-16,,,,,
P0_analytical_baseline,I,analytical_exact,,0.05,1,600s × 1,0.007631578947368479,,,,,
